Nome da Origem;Player;Nacionality;Position.1;Position.2;Age;Playing Time MP;Playing Time Starts;Playing Time Min;Playing Time 90s;Performance Gls;Performance Ast;Performance G+A;Performance G-PK;Performance PK;Performance PKatt;Performance CrdY;Performance CrdR;Expected xG;Expected npxG;Expected xAG;Expected npxG+xAG;Progression PrgC;Progression PrgP;Progression PrgR;Per 90 Minutes Gls;Per 90 Minutes Ast;Per 90 Minutes G+A;Per 90 Minutes G-PK;Per 90 Minutes G+A-PK;Per 90 Minutes xG;Per 90 Minutes xAG;Per 90 Minutes xG+xAG;Per 90 Minutes npxG;Per 90 Minutes npxG+xAG
tabela_Corinthians.xlsx;Talles Magno;br BRA;FW;MF;21;14;6;487;5,4;2;1;3;2;0;0;2;0;2,5;2,5;0,8;3,3;17;16;38;0,37;0,18;0,55;0,37;0,55;0,47;0,14;0,61;0,47;0,61
tabela_Corinthians.xlsx;Charles Rigon Matos;br BRA;MF;;27;13;5;554;6,2;1;0;1;1;0;0;4;0;0,3;0,3;0,2;0,5;6;30;19;0,16;0;0,16;0,16;0,16;0,05;0,03;0,08;0,05;0,08
tabela_Corinthians.xlsx;Pedro Raul;br BRA;FW;;27;19;4;539;6;0;0;0;0;0;0;2;0;1,4;1,4;0,4;1,8;6;10;42;0;0;0;0;0;0,24;0,06;0,29;0,24;0,29
tabela_Corinthians.xlsx;Gustavo Mosquito;br BRA;FW;;26;10;4;403;4,5;1;1;2;1;0;0;1;0;0,4;0,4;0,3;0,8;9;9;39;0,22;0,22;0,45;0,22;0,45;0,1;0,07;0,17;0,1;0,17
tabela_Corinthians.xlsx;Pedro Henrique;br BRA;FW;MF;33;11;4;354;3,9;1;1;2;1;0;0;2;0;0,9;0,9;0,6;1,5;12;8;32;0,25;0,25;0,51;0,25;0,51;0,23;0,16;0,39;0,23;0,39
tabela_Corinthians.xlsx;Caetano;br BRA;DF;;24;5;4;281;3,1;0;0;0;0;0;0;2;1;0,1;0,1;0,1;0,2;0;8;0;0;0;0;0;0;0,03;0,02;0,05;0,03;0,05
tabela_Corinthians.xlsx;Cássio;br BRA;GK;;36;3;3;270;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Corinthians.xlsx;Léo Mana;br BRA;DF;;19;5;3;208;2,3;0;0;0;0;0;0;1;0;0;0;0;0;1;6;5;0;0;0;0;0;0;0;0;0;0
tabela_Corinthians.xlsx;Fausto Vera;ar ARG;MF;;23;6;2;212;2,4;0;0;0;0;0;0;0;0;0,3;0,3;0,1;0,4;6;21;6;0;0;0;0;0;0,12;0,04;0,16;0,12;0,16
tabela_Corinthians.xlsx;Giovane;br BRA;FW;MF;20;11;1;274;3;1;0;1;1;0;0;1;0;1;1;0,1;1,1;3;4;28;0,33;0;0,33;0,33;0,33;0,33;0,04;0,37;0,33;0,37
tabela_Corinthians.xlsx;Paulinho;br BRA;MF;;35;6;1;118;1,3;0;0;0;0;0;0;0;0;0,4;0,4;0;0,4;3;6;2;0;0;0;0;0;0,3;0;0,3;0,3;0,3
tabela_Corinthians.xlsx;Raul Bicalho;br BRA;DF;;24;1;1;90;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0
tabela_Corinthians.xlsx;Gabriel Moscardo;br BRA;MF;;18;2;1;81;0,9;0;0;0;0;0;0;0;0;0,1;0,1;0;0,1;1;4;0;0;0;0;0;0;0,11;0;0,11;0,11;0,11
tabela_Corinthians.xlsx;Héctor;es ESP;FW;DF;28;3;1;64;0,7;0;0;0;0;0;0;0;0;0,1;0,1;0;0,1;1;1;3;0;0;0;0;0;0,09;0;0,09;0,09;0,09
tabela_Corinthians.xlsx;Maycon;br BRA;MF;;26;2;0;47;0,5;0;0;0;0;0;0;1;0;0;0;0;0;3;4;2;0;0;0;0;0;0;0,05;0,05;0;0,05
tabela_Corinthians.xlsx;Matheus Araújo;br BRA;MF;;21;4;0;43;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
tabela_Corinthians.xlsx;Arthur;br BRA;FW;;20;1;0;21;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
tabela_Corinthians.xlsx;Biro;br BRA;MF;DF;19;3;0;16;0,2;0;0;0;0;0;0;0;0;0,1;0,1;0;0,1;1;3;3;0;0;0;0;0;0,51;0;0,51;0,51;0,51
tabela_Corinthians.xlsx;Kayke;br BRA;MF;FW;19;2;0;15;0,2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;5;0;0;0;0;0;0,12;0;0,12;0,12;0,12
tabela_Corinthians.xlsx;João Pedro;br BRA;DF;;20;1;0;9;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Corinthians.xlsx;Luiz Fernando;br BRA;FW;;16;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Corinthians.xlsx;Felipe Longo;br BRA;GK;;18;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Corinthians.xlsx;Diego Palacios;ec ECU;DF;;24;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Corinthians.xlsx;Renato Santos;br BRA;DF;;19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Corinthians.xlsx;Guilherme Silva;br BRA;FW;;16;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Corinthians.xlsx;Squad Total;;;;26,3;38;418;3420;38;54;36;90;49;5;6;111;7;49,1;44,4;34;78,4;620;1436;1426;1,42;0,95;2,37;1,29;2,24;1,29;0,89;2,19;1,17;2,06
tabela_Corinthians.xlsx;Opponent Total;;;;27,9;38;418;3420;38;43;30;73;37;6;7;129;9;43,1;37,6;29,2;66,8;641;1324;1313;1,13;0,79;1,92;0,97;1,76;1,13;0,77;1,9;0,99;1,76
tabela_Criciúma.xlsx;Marcelo Hermes;br BRA;DF;MF;28;36;36;3205;35,6;2;5;7;2;0;0;4;0;1,6;1,6;3;4,6;51;132;134;0,06;0,14;0,2;0,06;0,2;0,05;0,08;0,13;0,05;0,13
tabela_Criciúma.xlsx;Gustavo;br BRA;GK;;30;34;34;2997;33,3;0;0;0;0;0;0;4;1;0,1;0,1;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Criciúma.xlsx;Rodrigo Fagundes;br BRA;DF;;36;32;32;2880;32;3;1;4;3;0;0;9;0;2,1;2,1;1,1;3,2;20;113;9;0,09;0,03;0,12;0,09;0,12;0,07;0,03;0,1;0,07;0,1
tabela_Criciúma.xlsx;Barreto;br BRA;MF;;28;30;29;2281;25,3;2;2;4;2;0;0;5;0;3,1;3,1;0,9;4;18;92;35;0,08;0,08;0,16;0,08;0,16;0,12;0,04;0,16;0,12;0,16
tabela_Criciúma.xlsx;Yannick Bolasie;cd COD;FW;;34;34;27;2377;26,4;8;4;12;8;0;0;4;0;7,4;7,4;1,8;9,2;63;55;172;0,3;0,15;0,45;0,3;0,45;0,28;0,07;0,35;0,28;0,35
tabela_Criciúma.xlsx;Newton;br BRA;MF;;23;30;26;2299;25,5;1;1;2;1;0;0;7;0;1,6;1,6;1;2,6;35;80;58;0,04;0,04;0,08;0,04;0,08;0,06;0,04;0,1;0,06;0,1
tabela_Criciúma.xlsx;Claudinho;br BRA;DF;;23;34;23;2047;22,7;2;3;5;2;0;0;3;1;1,1;1,1;3,6;4,7;43;113;101;0,09;0,13;0,22;0,09;0,22;0,05;0,16;0,2;0,05;0,2
tabela_Criciúma.xlsx;Tobias Figueiredo;pt POR;DF;;29;25;22;2066;23;1;0;1;1;0;0;6;0;0,3;0,3;0,5;0,8;2;49;1;0,04;0;0,04;0,04;0,04;0,01;0,02;0,03;0,01;0,03
tabela_Criciúma.xlsx;Fellipe Mateus;br BRA;MF;FW;32;31;20;1887;21;3;0;3;3;0;0;6;0;1,9;1,9;0,9;2,9;17;60;108;0,14;0;0,14;0,14;0,14;0,09;0,05;0,14;0,09;0,14
tabela_Criciúma.xlsx;Matheusinho;br BRA;MF;;25;28;19;1585;17,6;5;3;8;5;0;0;3;0;4;4;2,2;6,1;21;88;114;0,28;0,17;0,45;0,28;0,45;0,22;0,12;0,35;0,22;0,35
tabela_Criciúma.xlsx;Arthur;br BRA;FW;;31;33;18;1671;18,6;5;1;6;5;0;0;4;0;5;5;1,7;6,7;12;26;87;0,27;0,05;0,32;0,27;0,32;0,27;0,09;0,36;0,27;0,36
tabela_Criciúma.xlsx;Miguel Trauco;pe PER;DF;;31;24;17;1446;16,1;2;0;2;2;0;0;3;1;0,3;0,3;0,5;0,8;3;81;15;0,12;0;0,12;0,12;0,12;0,02;0,03;0,05;0,02;0,05
tabela_Criciúma.xlsx;Ronald;br BRA;MF;;26;30;15;1510;16,8;1;2;3;1;0;0;6;0;0,8;0,8;1,5;2,4;34;64;58;0,06;0,12;0,18;0,06;0,18;0,05;0,09;0,14;0,05;0,14
tabela_Criciúma.xlsx;Allano;br BRA;FW;MF;28;24;13;1296;14,4;1;2;3;1;0;0;10;2;2,1;2,1;1,9;4;62;59;134;0,07;0,14;0,21;0,07;0,21;0,15;0,13;0,28;0,15;0,28
tabela_Criciúma.xlsx;Higor Meritão;br BRA;MF;;29;17;13;1040;11,6;2;0;2;2;0;0;3;0;1,3;1,3;0,1;1,4;10;52;13;0,17;0;0,17;0,17;0,17;0,11;0,01;0,12;0,11;0,12
tabela_Criciúma.xlsx;Wilker Ángel;ve VEN;DF;;30;13;12;985;10,9;1;0;1;1;0;0;3;0;0,6;0,6;0;0,6;1;15;3;0,09;0;0,09;0,09;0,09;0,06;0;0,06;0,06;0,06
tabela_Criciúma.xlsx;Marquinhos Gabriel;br BRA;MF;;33;25;11;1003;11,1;0;0;0;0;0;0;4;0;0,5;0,5;1,8;2,4;22;46;55;0;0;0;0;0;0,05;0,16;0,21;0,05;0,21
tabela_Criciúma.xlsx;Walisson Maia;br BRA;DF;;32;16;10;955;10,6;0;1;1;0;0;0;4;0;0,3;0,3;0,7;1;2;14;2;0;0,09;0,09;0;0,09;0,03;0,06;0,09;0,03;0,09
tabela_Criciúma.xlsx;Éder;it ITA;FW;;37;16;10;764;8,5;0;0;0;0;0;0;5;0;1,1;1,1;1,3;2,3;13;22;60;0;0;0;0;0;0,13;0,15;0,28;0,13;0,28
tabela_Criciúma.xlsx;Luis Eduardo Marques dos Santos;br BRA;DF;;26;15;8;749;8,3;0;1;1;0;0;0;0;0;0,2;0,2;1,5;1,7;22;58;55;0;0,12;0,12;0;0,12;0,02;0,18;0,2;0,02;0,2
tabela_Criciúma.xlsx;Jonathan;br BRA;DF;;31;17;8;705;7,8;0;1;1;0;0;0;2;0;0,1;0,1;0,7;0,8;8;40;13;0;0,13;0,13;0;0,13;0,02;0,09;0,11;0,02;0,11
tabela_Criciúma.xlsx;Felipe Vizeu;br BRA;FW;;26;17;5;445;4,9;2;0;2;2;0;0;1;1;1;1;0,2;1,2;6;9;19;0,4;0;0,4;0,4;0,4;0,2;0,04;0,25;0,2;0,25
tabela_Criciúma.xlsx;Alisson;br BRA;GK;;28;6;4;421;4,7;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Criciúma.xlsx;Patrick de Paula;br BRA;MF;;24;5;3;270;3;0;0;0;0;0;0;1;0;0,1;0,1;0,1;0,2;3;15;2;0;0;0;0;0;0,04;0,02;0,06;0,04;0,06
tabela_Criciúma.xlsx;Pedro Rocha Neves;br BRA;FW;MF;29;7;1;174;1,9;0;0;0;0;0;0;0;0;0,6;0,6;0;0,6;5;4;11;0;0;0;0;0;0,29;0,02;0,31;0,29;0,31
tabela_Criciúma.xlsx;Jhonata Robert;br BRA;MF;;24;6;1;159;1,8;0;0;0;0;0;0;0;0;0,2;0,2;0;0,3;9;15;21;0;0;0;0;0;0,14;0,03;0,16;0,14;0,16
tabela_Criciúma.xlsx;Renato Kayser;br BRA;FW;;27;1;1;85;0,9;1;0;1;1;0;0;0;0;0,5;0,5;0,1;0,5;0;4;3;1,06;0;1,06;1,06;1,06;0,48;0,07;0,56;0,48;0,56
tabela_Criciúma.xlsx;Eliédson;br BRA;MF;;20;5;0;39;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
tabela_Criciúma.xlsx;Yerson Candelo;co COL;DF;;31;2;0;28;0,3;0;0;0;0;0;0;0;0;0;0;0,1;0,1;0;0;3;0;0;0;0;0;0;0,23;0,23;0;0,23
tabela_Criciúma.xlsx;João Carlos;br BRA;MF;FW;22;5;0;27;0,3;0;0;0;0;0;0;0;0;0,1;0,1;0;0,1;1;0;5;0;0;0;0;0;0,35;0;0,35;0,35;0,35
tabela_Criciúma.xlsx;Mateo Barcia;uy URU;MF;FW;22;4;0;25;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
tabela_Criciúma.xlsx;Sergio Antonio De Luiz Junior;br BRA;MF;FW;28;3;0;20;0,2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;0;0;0;0;0;0;0;0;0;0
tabela_Criciúma.xlsx;Eduardo Melo;br BRA;FW;;22;1;0;18;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Criciúma.xlsx;Werik Popó;br BRA;FW;;22;1;0;10;0,1;0;0;0;0;0;0;0;0;0,2;0,2;0;0,2;0;0;1;0;0;0;0;0;1,52;0;1,52;1,52;1,52
tabela_Criciúma.xlsx;Ruan Costa;br BRA;MF;;28;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Eliel;br BRA;MF;;20;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Adriano Filho;br BRA;MF;;19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Erick Garcia;br BRA;DF;;18;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Léo Gonçalves;br BRA;MF;;21;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Guilherme;br BRA;DF;;21;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Hiago;br BRA;DF;;18;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Jaja Jackson Henrique;br BRA;DF;;20;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Kauã Moroso;br BRA;GK;;19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Ruan;br BRA;FW;;19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Matheus Teixeira;br BRA;GK;;24;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Criciúma.xlsx;Squad Total;;;;30;38;418;3420;38;42;27;69;42;0;0;99;6;37,4;37,4;26,9;64,3;485;1310;1296;1,11;0,71;1,82;1,11;1,82;0,98;0,71;1,69;0,98;1,69
tabela_Criciúma.xlsx;Opponent Total;;;;27,7;38;418;3420;38;60;49;109;56;4;6;75;2;56,6;52;41,5;93,5;770;1818;1801;1,58;1,29;2,87;1,47;2,76;1,49;1,09;2,58;1,37;2,46
tabela_Cruzeiro.xlsx;William;br BRA;DF;;28;34;33;2963;32,9;5;5;10;2;3;3;8;0;4,6;2,3;4,5;6,8;84;139;214;0,15;0,15;0,3;0,06;0,21;0,14;0,14;0,28;0,07;0,21
tabela_Cruzeiro.xlsx;Matheus Pereira;br BRA;FW;MF;27;34;31;2823;31,4;8;7;15;8;0;0;11;1;5,3;5,2;5,7;10,9;89;224;175;0,26;0,22;0,48;0,26;0,48;0,17;0,18;0,35;0,17;0,35
tabela_Cruzeiro.xlsx;Lucas Romero;ar ARG;MF;;29;33;31;2531;28,1;0;2;2;0;0;0;8;1;0,7;0,7;0,8;1,5;22;159;26;0;0,07;0,07;0;0,07;0,02;0,03;0,05;0,02;0,05
tabela_Cruzeiro.xlsx;João Marcelo;br BRA;DF;;23;31;30;2692;29,9;0;2;2;0;0;0;7;1;0,8;0,8;0,8;1,7;43;135;9;0;0,07;0,07;0;0,07;0,03;0,03;0,06;0,03;0,06
tabela_Cruzeiro.xlsx;Zé Ivaldo;br BRA;DF;;26;29;26;2361;26,2;1;0;1;1;0;0;9;0;1,2;1,2;0,4;1,6;23;80;7;0,04;0;0,04;0,04;0,04;0,05;0,01;0,06;0,05;0,06
tabela_Cruzeiro.xlsx;Marlon;br BRA;DF;;26;28;25;2179;24,2;0;1;1;0;0;0;3;2;0,6;0,6;2;2,6;55;98;115;0;0,04;0,04;0;0,04;0,02;0,08;0,11;0,02;0,11
tabela_Cruzeiro.xlsx;Lucas Silva;br BRA;MF;;30;31;25;1991;22,1;1;1;2;1;0;0;5;0;0,9;0,9;1,5;2,4;29;103;49;0,05;0,05;0,09;0,05;0,09;0,04;0,07;0,11;0,04;0,11
tabela_Cruzeiro.xlsx;Cássio;br BRA;GK;;36;21;21;1890;21;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
tabela_Cruzeiro.xlsx;Gabriel Veron;br BRA;FW;MF;21;27;21;1611;17,9;6;2;8;6;0;0;3;0;4,1;4,1;1,5;5,6;24;34;100;0,34;0,11;0,45;0,34;0,45;0,23;0,08;0,31;0,23;0,31
tabela_Cruzeiro.xlsx;Anderson;br BRA;GK;;25;17;17;1530;17;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Cruzeiro.xlsx;Álvaro Barreal;ar ARG;MF;FW;23;28;17;1488;16,5;2;4;6;2;0;0;6;0;2,4;2,4;1,6;4;29;69;113;0,12;0,24;0,36;0,12;0,36;0,14;0,1;0,24;0,14;0,24
tabela_Cruzeiro.xlsx;Ramiro Benetti;br BRA;MF;;30;27;17;1436;16;2;0;2;2;0;0;3;0;1,1;1,1;0,7;1,8;9;57;43;0,13;0;0,13;0,13;0,13;0,07;0,04;0,11;0,07;0,11
tabela_Cruzeiro.xlsx;Lucas Villalba;ar ARG;DF;;29;23;14;1326;14,7;0;0;0;0;0;0;2;0;0,2;0,2;0,3;0,5;16;58;10;0;0;0;0;0;0,01;0,02;0,03;0,01;0,03
tabela_Cruzeiro.xlsx;Arthur;br BRA;FW;;25;21;14;1273;14,1;2;1;3;2;0;0;1;0;1,6;1,6;0,8;2,5;48;35;130;0,14;0,07;0,21;0,14;0,21;0,11;0,06;0,17;0,11;0,17
tabela_Cruzeiro.xlsx;Matheus Henrique;br BRA;MF;FW;26;17;13;1219;13,5;2;0;2;2;0;0;4;0;1;1;0,3;1,3;22;56;50;0,15;0;0,15;0,15;0,15;0,07;0,02;0,1;0,07;0,1
tabela_Cruzeiro.xlsx;Kaiki;br BRA;DF;;20;18;13;1184;13,2;1;0;1;1;0;0;4;0;0,5;0,5;1;1,4;31;32;67;0,08;0;0,08;0,08;0,08;0,04;0,07;0,11;0,04;0,11
tabela_Cruzeiro.xlsx;Kaio Jorge;br BRA;FW;;22;16;13;1163;12,9;2;2;4;2;0;1;3;0;5,3;4,5;1,4;5,9;20;18;56;0,15;0,15;0,31;0,15;0,31;0,41;0,11;0,52;0,35;0,46
tabela_Cruzeiro.xlsx;Lautaro Díaz;ar ARG;FW;;25;18;11;959;10,7;1;0;1;1;0;0;1;0;2,2;2,2;0,6;2,8;15;15;74;0,09;0;0,09;0,09;0,09;0,2;0,06;0,26;0,2;0,26
tabela_Cruzeiro.xlsx;Rafael Silva;br BRA;FW;;31;9;9;527;5,9;3;0;3;3;0;0;2;1;1,7;1,7;0,1;1,8;6;10;27;0,51;0;0,51;0,51;0,51;0,29;0,02;0,31;0,29;0,31
tabela_Cruzeiro.xlsx;Walace;br BRA;MF;;28;11;6;462;5,1;0;0;0;0;0;0;2;0;0,1;0,1;0;0,1;11;25;7;0;0;0;0;0;0,02;0;0,02;0,02;0,02
tabela_Cruzeiro.xlsx;Mateus Vital;br BRA;MF;FW;25;19;5;533;5,9;1;1;2;1;0;0;0;0;1;1;0,4;1,4;12;25;27;0,17;0,17;0,34;0,17;0,34;0,16;0,07;0,24;0,16;0,24
tabela_Cruzeiro.xlsx;Jonathan;br BRA;DF;;19;5;4;342;3,8;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
tabela_Cruzeiro.xlsx;Neris;br BRA;DF;;31;6;4;304;3,4;0;0;0;0;0;0;0;0;0,1;0,1;0;0,1;1;6;1;0;0;0;0;0;0,03;0;0,03;0,03;0,03
tabela_Cruzeiro.xlsx;Robert;br BRA;MF;FW;18;12;3;396;4,4;0;1;1;0;0;0;1;0;0,3;0,3;0,3;0,6;17;7;34;0;0,23;0,23;0;0,23;0,07;0,06;0,13;0,07;0,13
tabela_Cruzeiro.xlsx;Fabrizio Peralta;py PAR;MF;;21;9;3;275;3,1;0;0;0;0;0;0;2;0;0,1;0,1;0,2;0,3;3;17;4;0;0;0;0;0;0,04;0,06;0,1;0,04;0,1
tabela_Cruzeiro.xlsx;João Wellington;br BRA;MF;FW;20;10;2;297;3,3;0;0;0;0;0;0;1;0;0;0;0,1;0,2;6;5;7;0;0;0;0;0;0,01;0,04;0,05;0,01;0,05
tabela_Cruzeiro.xlsx;Juan Ignacio Dinenno;ar ARG;FW;DF;29;7;2;239;2,7;3;0;3;2;1;1;0;0;1,2;0,4;0;0,4;0;0;6;1,13;0;1,13;0,75;0,75;0,44;0;0,44;0,15;0,15
tabela_Cruzeiro.xlsx;Machado;br BRA;MF;;28;6;2;167;1,9;0;0;0;0;0;0;2;0;0;0;0,1;0,1;1;7;2;0;0;0;0;0;0,03;0,03;0,05;0,03;0,05
tabela_Cruzeiro.xlsx;Wesley Gasolina;br BRA;DF;;23;4;2;165;1,8;0;0;0;0;0;0;0;0;0;0;0,1;0,1;4;3;10;0;0;0;0;0;0,01;0,04;0,06;0,01;0,06
tabela_Cruzeiro.xlsx;Vitinho;br BRA;MF;FW;19;21;1;484;5,4;1;1;2;1;0;0;2;0;1,9;1,9;0,4;2,3;7;14;25;0,19;0,19;0,37;0,19;0,37;0,35;0,07;0,42;0,35;0,42
tabela_Cruzeiro.xlsx;Tevis Gabriel Alves Santos;br BRA;FW;;18;5;1;146;1,6;1;0;1;1;0;0;0;0;0,7;0,7;0;0,7;4;2;9;0,62;0;0,62;0,62;0,62;0,44;0,01;0,46;0,44;0,46
tabela_Cruzeiro.xlsx;Helibelton Palacios;co COL;DF;;30;1;1;87;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;0;0;0;0;0;0,03;0;0,03;0,03;0,03
tabela_Cruzeiro.xlsx;José Cifuentes;ec ECU;MF;;24;3;1;69;0,8;0;0;0;0;0;0;0;0;0;0;0;0;2;3;8;0;0;0;0;0;0,05;0;0,05;0,05;0,05
tabela_Cruzeiro.xlsx;Rafael Elias;br BRA;FW;;24;5;0;103;1,1;1;0;1;1;0;0;2;0;0,6;0,6;0;0,6;0;3;9;0,87;0;0,87;0,87;0,87;0,5;0;0,5;0,5;0,5
tabela_Cruzeiro.xlsx;Arthur Rodrigues;br BRA;FW;MF;19;3;0;82;0,9;0;0;0;0;0;0;1;0;0,1;0,1;0,1;0,2;3;0;3;0;0;0;0;0;0,09;0,12;0,21;0,09;0,21
tabela_Cruzeiro.xlsx;João Pedro;br BRA;FW;MF;20;3;0;81;0,9;0;0;0;0;0;0;0;0;0,1;0,1;0;0,1;1;1;2;0;0;0;0;0;0,06;0;0,06;0,06;0,06
tabela_Cruzeiro.xlsx;Kenji;br BRA;FW;MF;18;4;0;47;0,5;0;0;0;0;0;0;0;0;0;0;0,1;0,1;2;2;8;0;0;0;0;0;0;0,13;0,13;0;0,13
tabela_Cruzeiro.xlsx;Jhosefer;br BRA;FW;;19;1;0;10;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0
tabela_Cruzeiro.xlsx;Weverton;br BRA;FW;;20;1;0;7;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Cruzeiro.xlsx;Léo Aragão;br BRA;GK;;21;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Cruzeiro.xlsx;Rafael Bilu;br BRA;MF;;24;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Cruzeiro.xlsx;Gabriel Chapecó;br BRA;GK;;23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Cruzeiro.xlsx;Dorival;br BRA;MF;;19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Cruzeiro.xlsx;Pedrão;br BRA;DF;;20;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Cruzeiro.xlsx;Squad Total;;;;26,9;38;418;3420;38;43;30;73;39;4;5;97;6;40;36,1;25,8;62;642;1452;1437;1,13;0,79;1,92;1,03;1,82;1,05;0,68;1,73;0,95;1,63
tabela_Cruzeiro.xlsx;Opponent Total;;;;27,8;38;418;3420;38;40;27;67;38;2;2;94;10;45,4;44;33,5;77,5;526;1343;1333;1,05;0,71;1,76;1;1,71;1,2;0,88;2,08;1,16;2,04
tabela_Cuiabá.xlsx;Walter;br BRA;GK;;36;36;36;3240;36;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Cuiabá.xlsx;Marllon Borges;br BRA;DF;;31;33;33;2881;32;1;0;1;1;0;0;4;0;1,2;1,2;0,4;1,6;4;56;1;0,03;0;0,03;0,03;0,03;0,04;0,01;0,05;0,04;0,05
tabela_Cuiabá.xlsx;Isidro Pitta;py PAR;FW;;24;35;33;2831;31,5;7;2;9;4;3;4;5;0;9,7;6,6;3,9;10,5;50;52;168;0,22;0,06;0,29;0,13;0,19;0,31;0,12;0,43;0,21;0,33
tabela_Cuiabá.xlsx;Ramon;br BRA;DF;;22;30;30;2636;29,3;2;1;3;2;0;0;9;0;1;1;1,5;2,5;48;88;95;0,07;0,03;0,1;0,07;0,1;0,03;0,05;0,08;0,03;0,08
tabela_Cuiabá.xlsx;Alan Empereur;br BRA;DF;;29;30;30;2548;28,3;0;0;0;0;0;0;9;0;0,6;0,6;1,1;1,7;17;95;12;0;0;0;0;0;0,02;0,04;0,06;0,02;0,06
tabela_Cuiabá.xlsx;Matheus Alexandre;br BRA;DF;;24;31;29;2464;27,4;1;0;1;1;0;0;6;0;0,4;0,4;0,7;1,1;37;86;68;0,04;0;0,04;0,04;0,04;0,02;0,03;0,04;0,02;0,04
tabela_Cuiabá.xlsx;Clayson;br BRA;FW;MF;28;33;28;2043;22,7;5;1;6;5;0;0;6;0;2,6;2,6;1,2;3,7;56;75;120;0,22;0,04;0,26;0,22;0,26;0,11;0,05;0,16;0,11;0,16
tabela_Cuiabá.xlsx;Lucas Mineiro;br BRA;MF;;27;33;26;2338;26;0;0;0;0;0;0;7;0;0,6;0,6;0,2;0,7;18;85;12;0;0;0;0;0;0,02;0,01;0,03;0,02;0,03
tabela_Cuiabá.xlsx;Denilson;br BRA;MF;;22;33;25;2016;22,4;0;3;3;0;0;0;8;0;1,1;1,1;2,2;3,3;26;96;43;0;0,13;0,13;0;0,13;0,05;0,1;0,15;0,05;0,15
