Nome da Origem;Player;Nacionality;Position.1;Position.2;Age;Playing Time MP;Playing Time Starts;Playing Time Min;Playing Time 90s;Performance Gls;Performance Ast;Performance G+A;Performance G-PK;Performance PK;Performance PKatt;Performance CrdY;Performance CrdR;Expected xG;Expected npxG;Expected xAG;Expected npxG+xAG;Progression PrgC;Progression PrgP;Progression PrgR;Per 90 Minutes Gls;Per 90 Minutes Ast;Per 90 Minutes G+A;Per 90 Minutes G-PK;Per 90 Minutes G+A-PK;Per 90 Minutes xG;Per 90 Minutes xAG;Per 90 Minutes xG+xAG;Per 90 Minutes npxG;Per 90 Minutes npxG+xAG
tabela_Bahia.xlsx;Carlos de Pena;uy URU;MF;;31;;4;683;7,6;0;3;3;0;0;0;5;0;1;1;2,3;3,4;14;68;28;0;0,4;0,4;0;0,4;0,13;0,31;0,44;0,13;0,44
tabela_Bahia.xlsx;Rezende;br BRA;MF;DF;29;;4;574;6,4;0;0;0;0;0;0;3;0;0,4;0,4;0;0,4;2;22;1;0;0;0;0;0;0,07;0;0,07;0,07;0,07
tabela_Bahia.xlsx;Iago;br BRA;DF;MF;26;;3;408;4,5;0;0;0;0;0;0;0;0;0,8;0,8;1,1;1,9;15;22;23;0;0;0;0;0;0,18;0,23;0,41;0,18;0,41
tabela_Bahia.xlsx;Adriel;br BRA;GK;;23;;3;334;3,7;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
tabela_Bahia.xlsx;David Duarte;br BRA;DF;;29;;3;255;2,8;1;0;1;1;0;0;0;0;0,2;0,2;0;0,2;3;11;0;0,35;0;0,35;0,35;0,35;0,06;0;0,06;0,06;0,06
tabela_Bahia.xlsx;Nicolás Acevedo;uy URU;MF;DF;24;;1;268;3;0;0;0;0;0;0;2;0;0,1;0,1;0,2;0,3;5;19;8;0;0;0;0;0;0,04;0,07;0,11;0,04;0,11
tabela_Bahia.xlsx;Oscar Estupiñan;co COL;FW;MF;27;;1;252;2,8;3;1;4;3;0;0;1;0;3,4;3,4;0,1;3,5;1;6;17;1,07;0,36;1,43;1,07;1,43;1,22;0,05;1,26;1,22;1,26
tabela_Bahia.xlsx;Danilo Fernandes;br BRA;GK;;35;;1;90;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Bahia.xlsx;Cicinho;bg BUL;DF;FW;35;;1;85;0,9;0;0;0;0;0;0;1;0;0;0;0,1;0,1;1;8;6;0;0;0;0;0;0;0,12;0,12;0;0,12
tabela_Bahia.xlsx;Rafael Ratão;br BRA;FW;MF;28;;0;438;4,9;1;2;3;1;0;0;0;0;2,9;2,9;0,7;3,6;15;25;66;0,21;0,41;0,62;0,21;0,62;0,6;0,14;0,74;0,6;0,74
tabela_Bahia.xlsx;Yago;br BRA;MF;;28;;0;68;0,8;0;0;0;0;0;0;3;0;0;0;0;0,1;1;3;3;0;0;0;0;0;0,05;0,04;0,09;0,05;0,09
tabela_Bahia.xlsx;Tiago;br BRA;FW;MF;18;;0;60;0,7;0;0;0;0;0;0;0;0;0,3;0,3;0,4;0,7;5;0;10;0;0;0;0;0;0,38;0,63;1,01;0,38;1,01
tabela_Bahia.xlsx;Vitor Hugo;br BRA;DF;;32;;0;15;0,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tabela_Bahia.xlsx;Ruan Pablo;br BRA;MF;;15;;0;6;0,1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0
tabela_Bahia.xlsx;Marcos Victor;br BRA;DF;;22;;0;;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;
tabela_Bahia.xlsx;Ryan Carlos;br BRA;DF;;21;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Bahia.xlsx;Roger;br BRA;MF;;16;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Bahia.xlsx;Sidney;br BRA;MF;;17;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
tabela_Bahia.xlsx;Squad Total;;;;27,7;;418;3420;38;49;40;89;47;2;2;83;1;51,3;49,9;40,5;90,3;736;1746;1738;1,29;1,05;2,34;1,24;2,29;1,35;1,07;2,42;1,31;2,38
tabela_Bahia.xlsx;Opponent Total;;;;27,6;;418;3420;38;49;34;83;47;2;3;113;6;43,2;40,7;31,6;72,3;636;1336;1326;1,29;0,89;2,18;1,24;2,13;1,14;0,83;1,97;1,07;1,9
tabela_Botafogo-RJ.xlsx;John;br BRA;GK;;27;34;34;3060;34;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
tabela_Botafogo-RJ.xlsx;Luiz Henrique;br BRA;FW;MF;23;35;33;2533;28,1;7;3;10;6;1;1;3;0;7,1;6,4;3,8;10,1;85;74;261;0,25;0,11;0,36;0,21;0,32;0,25;0,13;0,39;0,22;0,36
tabela_Botafogo-RJ.xlsx;Bastos;ao ANG;DF;;32;32;31;2628;29,2;3;0;3;3;0;0;6;0;1,7;1,7;0,1;1,8;12;111;7;0,1;0;0,1;0,1;0,1;0,06;0;0,06;0,06;0,06
tabela_Botafogo-RJ.xlsx;Marlon Freitas;br BRA;MF;;28;32;28;2425;26,9;0;5;5;0;0;0;6;0;1,7;1,7;4,3;6;44;264;43;0;0,19;0,19;0;0,19;0,06;0,16;0,22;0,06;0,22
tabela_Botafogo-RJ.xlsx;Gregore;br BRA;MF;;29;33;25;2220;24,7;3;2;5;3;0;0;9;0;1,2;1,2;1,7;2,8;29;199;38;0,12;0,08;0,2;0,12;0,2;0,05;0,07;0,12;0,05;0,12
tabela_Botafogo-RJ.xlsx;Alexander Barboza;ar ARG;DF;;28;26;23;2033;22,6;0;1;1;0;0;0;11;2;1,4;1,4;1;2,3;14;90;7;0;0,04;0,04;0;0,04;0,06;0,04;0,1;0,06;0,1
tabela_Botafogo-RJ.xlsx;Jefferson Savarino;ve VEN;MF;FW;27;28;22;2009;22,3;8;7;15;8;0;0;3;0;5,2;4,9;6,5;11,4;46;124;175;0,36;0,31;0,67;0,36;0,67;0,23;0,29;0,52;0,22;0,51
tabela_Botafogo-RJ.xlsx;Tchê Tchê;br BRA;MF;FW;31;28;16;1570;17,4;0;0;0;0;0;0;2;1;0,7;0,7;2,8;3,5;30;94;44;0;0;0;0;0;0,04;0,16;0,2;0,04;0,2
tabela_Botafogo-RJ.xlsx;Júnior Santos;br BRA;FW;;29;24;16;1481;16,5;4;1;5;4;0;0;2;0;6,3;6,3;1,5;7,8;44;30;127;0,24;0,06;0,3;0,24;0,3;0,38;0,09;0,47;0,38;0,47
tabela_Botafogo-RJ.xlsx;Cuiabano;br BRA;DF;;20;23;16;1476;16,4;4;1;5;4;0;0;5;0;1,8;1,8;1,4;3,2;37;40;128;0,24;0,06;0,3;0,24;0,3;0,11;0,08;0,19;0,11;0,19
tabela_Botafogo-RJ.xlsx;Igor Jesus;br BRA;FW;;22;22;16;1454;16,2;5;3;8;5;0;0;2;0;6,8;6,8;2,6;9,4;20;35;134;0,31;0,19;0,5;0,31;0,5;0,42;0,16;0,58;0,42;0,58
tabela_Botafogo-RJ.xlsx;Thiago Almada;ar ARG;FW;MF;22;17;16;1252;13,9;1;2;3;1;0;1;1;0;3,4;2,6;2,6;5,2;65;112;108;0,07;0,14;0,22;0,07;0,22;0,24;0,19;0,43;0,19;0,37
tabela_Botafogo-RJ.xlsx;Lucas Halter;br BRA;DF;;23;17;15;1353;15;1;0;1;1;0;0;4;0;0,4;0,4;0,1;0,5;8;42;1;0,07;0;0,07;0,07;0,07;0,02;0,01;0,03;0,02;0,03
tabela_Botafogo-RJ.xlsx;Danilo Barbosa;br BRA;MF;;27;25;14;1153;12,8;3;1;4;3;0;0;4;0;1,3;1,3;0,4;1,7;9;53;13;0,23;0,08;0,31;0,23;0,31;0,1;0,03;0,13;0,1;0,13
tabela_Botafogo-RJ.xlsx;Tiquinho Soares;br BRA;FW;;33;28;13;1349;15;5;3;8;3;2;2;4;1;6,7;5,2;2,1;7,3;7;27;69;0,33;0,2;0,53;0,2;0,4;0,45;0,14;0,59;0,35;0,49
tabela_Botafogo-RJ.xlsx;Damián Suárez;uy URU;DF;;35;17;13;1244;13,8;0;1;1;0;0;0;5;0;0,1;0,1;1,6;1,7;22;37;55;0;0,07;0,07;0;0,07;0,01;0,12;0,13;0,01;0,13
tabela_Botafogo-RJ.xlsx;Mateo Ponte;uy URU;DF;;20;17;13;1132;12,6;3;0;3;3;0;0;3;0;1,5;1,5;1;2,5;22;45;97;0,24;0;0,24;0,24;0,24;0,12;0,08;0,19;0,12;0,19
tabela_Botafogo-RJ.xlsx;Fernando Marçal;br BRA;DF;;34;16;11;1014;11,3;1;0;1;1;0;0;5;0;0,3;0,3;0,7;1;18;59;54;0,09;0;0,09;0,09;0,09;0,02;0,07;0,09;0,02;0,09
tabela_Botafogo-RJ.xlsx;Vitinho;br BRA;DF;MF;24;11;11;770;8,6;0;0;0;0;0;0;0;0;1,3;1,3;0,5;1,8;11;31;58;0;0;0;0;0;0,15;0,06;0,21;0,15;0,21
tabela_Botafogo-RJ.xlsx;Carlos Eduardo;br BRA;MF;FW;34;17;8;823;9,1;2;1;3;2;0;1;1;0;1,7;0,9;0,5;1,4;11;41;29;0,22;0,11;0,33;0,22;0,33;0,18;0,06;0,24;0,1;0,16
tabela_Botafogo-RJ.xlsx;Alex Telles;br BRA;DF;MF;31;11;8;650;7,2;0;1;1;0;0;0;1;0;1;1;1,1;2,1;18;31;43;0;0,14;0,14;0;0,14;0,14;0,16;0,29;0,14;0,29
tabela_Botafogo-RJ.xlsx;Óscar Romero;py PAR;MF;FW;31;19;6;678;7,5;1;4;5;0;1;1;5;0;1,4;0,6;1,5;2,1;12;52;54;0,13;0,53;0,66;0;0,53;0,19;0,19;0,38;0,08;0,28
tabela_Botafogo-RJ.xlsx;Adryelson;br BRA;DF;;25;7;6;580;6,4;1;0;1;1;0;0;0;0;0,2;0,2;0,3;0,5;2;22;0;0,16;0;0,16;0,16;0,16;0,03;0,05;0,08;0,03;0,08
tabela_Botafogo-RJ.xlsx;Jeffinho;br BRA;FW;MF;24;7;5;349;3,9;1;1;2;1;0;0;2;0;1,8;1,8;0,4;2,2;8;10;32;0,26;0,26;0,52;0,26;0,52;0,46;0,11;0,57;0,46;0,57
